section,address,size,symbol,source_file
.ResetVector.text,0x50000000,0x12,c,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/xcc/crtn.o
.ResetVector.text,0x50000000,,_ResetVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandler-reset.a(reset-vector.o
.ResetVector.text,0x5000003c,,_ResetHandler,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandler-reset.a(reset-vector.o
.ResetHandler.text,0x5000012c,0,x0,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandler-reset.a(reset-vector.o
.MemoryExceptionVector.literal,0x500002e0,0,x8,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandler-reset.a(reset-vector.o
.MemoryExceptionVector.text,0x50000310,0,xb0,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(memerror-vector-S--vector-.o
.MemoryExceptionVector.text,0x50000310,,_MemErrorVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(memerror-vector-S--vector-.o
.WindowVectors.text,0x60000000,0x16,c,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(memerror-vector-S--vector-.o
.WindowVectors.text,0x60000000,,_WindowOverflow4,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.WindowVectors.text,0x60000010,,_xtos_alloca_handler,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.WindowVectors.text,0x60000040,,_WindowUnderflow4,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.WindowVectors.text,0x60000080,,_WindowOverflow8,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.WindowVectors.text,0x600000c0,,_WindowUnderflow8,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.WindowVectors.text,0x60000100,,_WindowOverflow12,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.WindowVectors.text,0x60000140,,_WindowUnderflow12,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.Level2InterruptVector.literal,0x60000178,0,x0,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.Level2InterruptVector.text,0x6000017c,0,x8,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(window-vectors.o
.Level2InterruptVector.text,0x6000017c,,_Level2Vector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(int-vector-level2.o
.DebugExceptionVector.literal,0x60000198,0,x0,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(int-vector-level2.o
.DebugExceptionVector.text,0x600001a0,0,xc,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(int-vector-level2.o
.DebugExceptionVector.text,0x600001a0,,_DebugExceptionVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(debug-vector.o
.KernelExceptionVector.literal,0x600001d8,0,x0,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(debug-vector.o
.KernelExceptionVector.text,0x600001dc,0,x8,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(debug-vector.o
.KernelExceptionVector.text,0x600001dc,,_KernelExceptionVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(kernel-vector.o
.UserExceptionVector.literal,0x600001f8,0,x4,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(kernel-vector.o
.UserExceptionVector.text,0x600001fc,0,xc,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(user-vector.o
.UserExceptionVector.text,0x600001fc,,_UserExceptionVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(user-vector.o
.DoubleExceptionVector.literal,0x60000218,0,x0,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(user-vector.o
.DoubleExceptionVector.text,0x6000021c,0,x8,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(user-vector.o
.DoubleExceptionVector.text,0x6000021c,,_DoubleExceptionVector,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhandlers-board.a(double-vector.o
.rtos.rodata,0x60000240,,Xthal_intlevel,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/\libhal.a(const--intlevel.o
.rodata,0x60000498,,drv_irq_src_forceable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(int.o
.init,0x600008b4,,_init,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/lib/xcc/crti.o
.text,0x600008d0,,_start,C:/usr/xtensa/XtDevTools/install/builds/RI-2022.10-win32/HiFi_220715_v3p/xtensa-elf/arch/lib/crt1-boards.o
.text,0x600009f0,,main,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/au_framework/src/c0_main.o
.text,0x60000c60,,drv_vmem_VirtualtoPhysicalADD,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/kernel/target/hifi5/vmem.o
.text,0x60000ca0,,drv_vmem_PhysicaltoVirtualADD,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/SM4G_HIFI5Core0/bin/HiFi_220715_v3p_HiFi0/Debug/source/kernel/target/hifi5/vmem.o
.text,0x60000ce0,,drv_bufmgr_init,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x60000e18,,drv_bufmgr_init_secondary,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x60000e74,,drv_bufmgr_RegisterCallback,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x60000e8c,,drv_bufmgr_DeregisterCallback,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x60000ea4,,drv_bufmgr_ChannelDisable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x60000ef4,,drv_bufmgr_TxSubmitDualCircBuff,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x60001030,,drv_bufmgr_RxSubmitDualCircBuff,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(bufmgr.o
.text,0x6000116c,,drv_clkrst_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001174,,drv_clkrst_i2srxclkenable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600011ec,,drv_clkrst_i2stxclkenable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600012b4,,drv_clkrst_config2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001304,,drv_hpdiv_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001510,,drv_hpdiv_config_intmclk,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x6000171c,,drv_dfs_config,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001858,,drv_evctr0_Enable,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x600018b0,,drv_evctr0_Enable2,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001908,,drv_evctr0_ResultValid,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x6000191c,,drv_evctr0_ClearValid,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x60001938,,drv_evctr0_ReadResult,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
.text,0x6000194c,,drv_clkrst_GenerateIntBclk,D:/Skyworks/DTS/DTSX_VX_INT/SM4G_DTSVX_RT_CH_SWAP/libdrv\libdrv_HIFI0.a(clkrst.o
